Ssn,Name,Phone,Email,Password,Location,age,IsAuth,Sigungu,sido,x,y
030201-0000002,김철수,010-5423-3464,excel35@gmail.com,654321,"경기도 고양시 일산서구 중앙로 1437 403호 (주엽동, 화성프라자)",19,0,311902,310000,126.761,37.6701
461010-0000007,안수근,010-7829-2564,ossystem64@naver.com,zxcvbn,"경기도 고양시 일산서구 중앙로 1437 405호 (주엽동, 화성프라자)",76,0,311902,310000,126.761,37.6701
470201-0000009,남용식,010-5678-9034,vaccine12@yahoo.com,1w2e3r,부산광역시 사하구 낙동대로 423 (하단동),75,0,210010,210000,128.972,35.1038
570915-0000010,오민영,010-6459-0526,thisismail23@daum.com,123456,서울특별시 중랑구 중랑역로 90 대원메디컬빌딩 (중화동),65,0,110019,110000,127.078,37.6014
680501-0000008,임희주,010-3367-2376,data125@gmail.com,asdfqwer,경상남도 진주시 초전북로 55 201호 (초전동),54,0,380500,380000,128.113,35.2087
801110-0000003,김영희,010-6465-4268,1q2w3e@naver.com,1q2w3e4r,서울특별시 강동구 양재대로 1325 (성내동),42,0,110002,110000,127.135,37.5248
880101-0000001,홍길동,010-1234-5678,get678@naver.com,123456,"서울특별시 동대문구 서울시립대로 50 4,5층 (전농동)",34,0,110007,110000,127.048,37.5756
900125-0000006,고용우,010-6563-6795,dbproj12@naver.com,1234qw,대전광역시 서구 대덕대로 202 6층 (둔산동),32,0,250003,230000,127.379,36.3508
950409-0000005,이동윤,010-2341-8085,hw2346@hanmail.com,aaabbb,대구광역시 달성군 다사읍 달구벌대로 889 201호 (대흥빌딩),27,0,230100,230000,128.466,35.8574
990620-0000004,이창식,010-0236-2345,helloworld@gmail.com,qwerty,부산광역시 사하구 낙동대로 423 (하단동),23,0,210010,210000,128.972,35.1038
