Ssn,Name,Phone,Email,Password,Location,IsAuth,age,Sigungu,sido,y,x
880101-0000001,홍길동,010-1234-5678,get678@naver.com,123456,"서울특별시 동대문구 서울시립대로 50 4,5층 (전농동)",1,34,110007,110000,37.575629,127.047616
030201-0000002,김철수,010-5423-3464,excel35@gmail.com,654321,"경기도 고양시 일산서구 중앙로 1437 403호 (주엽동, 화성프라자)",1,19,311902,310000,37.670061,126.76053
801110-0000003,김영희,010-6465-4268,1q2w3e@naver.com,1q2w3e4r,서울특별시 강동구 양재대로 1325 (성내동),1,42,110002,110000,37.52483,127.134608
990620-0000004,이창식,010-0236-2345,helloworld@gmail.com,qwerty,부산광역시 사하구 낙동대로 423 (하단동),1,23,210010,210000,35.103811,128.972053
950409-0000005,이동윤,010-2341-8085,hw2346@hanmail.com,aaabbb,대구광역시 달성군 다사읍 달구벌대로 889 201호 (대흥빌딩),1,27,230100,230000,35.857362,128.466284
900125-0000006,고용우,010-6563-6795,dbproj12@naver.com,1234qw,대전광역시 서구 대덕대로 202 6층 (둔산동),1,32,250003,230000,36.350827,127.378597
461010-0000007,안수근,010-7829-2564,ossystem64@naver.com,zxcvbn,"경기도 고양시 일산서구 중앙로 1437 405호 (주엽동, 화성프라자)",1,76,311902,310000,37.670061,126.76053
680501-0000008,임희주,010-3367-2376,data125@gmail.com,asdfqwer,경상남도 진주시 초전북로 55 201호 (초전동),1,54,380500,380000,35.208711,128.11271
470201-0000009,남용식,010-5678-9034,vaccine12@yahoo.com,1w2e3r,부산광역시 사하구 낙동대로 423 (하단동),1,75,210010,210000,35.103811,128.972053
570915-0000010,오민영,010-6459-0526,thisismail23@daum.com,123456,서울특별시 중랑구 중랑역로 90 대원메디컬빌딩 (중화동),1,65,110019,110000,37.601404,127.078029
