Ssn,Name,Phone,Email,Password,Location,age,IsAuth,Sigungu,sido,x,y
569420-129568,탁여린,010-5688-5201,962314@naver.com,667211,용인시,65,0,312000,310000,127.27113,37.34619
665452-114775,백수솔,010-9345-3100,463942@naver.com,696578,송탄시,55,1,310500,310000,126.04523,35.30812
573542-281480,남수한,010-7429-4397,22759@naver.com,585298,인천강화군,64,1,220100,220000,127.56095,36.53468
763681-198246,차연임,010-2503-9308,666748@naver.com,718719,서천군,45,1,340009,340000,127.33841,36.89693
568812-102093,지근언,010-4136-2432,815386@naver.com,147529,산청군,65,0,380008,380000,126.71568,35.11805
550059-169077,홍고옥,010-4848-5452,821268@naver.com,946022,청원군,66,1,330010,330000,126.35916,35.33202
952033-171432,진수신,010-7757-8419,177563@naver.com,300056,대구북구,26,0,230003,230000,126.07629,35.73172
825889-163436,안영선,010-6626-7905,257211@naver.com,991941,대전유성구,39,1,250001,250000,128.60624,37.19071
986383-170596,탁양지,010-2422-5625,274747@naver.com,404602,성남수정구,23,0,310401,310000,127.22448,35.27748
873076-181274,변조영,010-6130-4031,70779@naver.com,205574,함양군,34,0,380018,380000,126.24502,35.98396
902346-174890,남이영,010-3180-0400,11932@naver.com,630864,창원성산구,31,1,380705,380000,126.22966,35.51816
430824-161061,노아세,010-2171-8112,959707@naver.com,952680,부산사하구,78,1,210010,210000,127.85999,35.04621
540040-200606,나규윤,010-9599-2866,943875@naver.com,629659,달성군,67,1,370005,370000,126.82513,37.03762
439160-245712,유휘은,010-3071-2250,257466@naver.com,998828,종로구,78,1,110016,110000,128.92996,35.87498
638860-206223,변초온,010-2385-1330,169403@naver.com,386548,강북구,58,1,110024,110000,126.17707,35.15781
664342-154496,서세경,010-3348-2559,184984@naver.com,162050,부천소사구,55,1,310301,310000,126.12305,37.06939
690532-128577,변다재,010-8519-9576,988291@naver.com,768792,창원시,52,1,380700,380000,126.4603,35.56656
498265-299846,정준현,010-2505-6858,679895@naver.com,560248,청송군,72,0,370023,370000,127.37282,36.53512
422281-114116,염태향,010-3107-2943,81306@naver.com,916558,노원구,79,0,110022,110000,127.61987,36.68153
914863-152322,편송하,010-2209-9034,979242@naver.com,35375,김해군,30,1,380004,380000,127.86469,36.62954
794156-156052,허원성,010-5576-4052,480957@naver.com,769602,인제군,42,0,320008,320000,127.02558,36.56704
486400-101494,원고소,010-2807-3422,420143@naver.com,863112,성남중원구,73,0,310402,310000,127.22151,37.44915
840340-258973,추주하,010-1853-4818,321695@naver.com,237399,파주시,37,1,312200,310000,128.54072,35.54215
406454-149288,전아이,010-7892-8329,843521@naver.com,545089,청주청원구,81,0,330103,330000,126.64223,37.36747
530280-162972,탁미령,010-6347-4882,688792@naver.com,740458,인천부평구,68,0,220003,220000,127.14872,37.34842
557356-163293,양준승,010-6713-4228,466169@naver.com,903314,수원권선구,66,0,310601,310000,127.67846,35.79759
916592-156392,양률기,010-5181-5437,905136@naver.com,411623,진해시,30,0,380600,380000,128.56532,37.63697
836878-291512,공준혜,010-8832-2573,340292@naver.com,460,천안시,38,1,340200,340000,127.22209,35.99684
497647-291447,류순선,010-6324-3511,361235@naver.com,713045,화성시,72,0,312500,310000,126.54869,37.58349
769557-203724,곽혜선,010-7080-7300,290542@naver.com,689676,천안서북구,45,0,340201,340000,128.69062,37.1851
683312-283119,하동운,010-7842-7783,990116@naver.com,851449,천안서북구,53,0,340201,340000,127.22627,35.32264
938832-242399,임준율,010-7454-5737,884921@naver.com,319889,대구북구,28,0,230003,230000,128.70254,35.90946
830032-279325,윤해재,010-6966-1558,185631@naver.com,26951,도봉구,38,1,110006,110000,128.97999,35.91937
679965-138693,백주린,010-4190-3810,925805@naver.com,887674,청도군,54,1,370022,370000,126.11434,35.17978
701000-190450,홍시미,010-7125-8918,26917@naver.com,120926,화천군,51,0,320014,320000,127.97273,36.52114
571346-114566,손성령,010-8682-6315,470509@naver.com,328051,문경시,64,0,370800,370000,126.067,35.6466
804558-230179,류보운,010-2817-1306,67076@naver.com,327053,장흥군,41,0,360018,360000,126.80347,36.95044
506098-275880,백서향,010-5526-8903,363596@naver.com,651628,무주군,71,1,350004,350000,126.34535,37.44678
584685-109393,편동미,010-1988-7982,199755@naver.com,4539,보성군,63,0,360010,360000,126.82393,35.38842
596871-209702,홍비효,010-3955-9958,42807@naver.com,865611,대구수성구,62,1,230005,230000,128.11032,37.71517
951799-186015,강다빈,010-3878-0163,546337@naver.com,788503,고양일산동구,26,0,311903,310000,126.67123,36.09396
896715-189556,은진향,010-7076-2593,817064@naver.com,884653,고성군,32,0,320001,320000,127.60795,35.92229
978343-194545,최의연,010-9269-3935,888760@naver.com,616670,인천계양구,24,0,220008,220000,127.93241,36.9317
803281-254459,정해교,010-9767-8964,52557@naver.com,780673,중랑구,41,0,110019,110000,127.07834,36.28712
660244-273876,하률교,010-9333-2518,270654@naver.com,34606,수원장안구,55,0,310602,310000,126.63609,37.55588
892227-121852,나률림,010-1328-8676,347943@naver.com,971543,양구군,32,0,320004,320000,128.7609,35.82941
443895-176828,배시세,010-4256-6189,947406@naver.com,259592,대구수성구,77,1,230005,230000,126.073,37.78509
755758-123343,최하주,010-9792-5598,241500@naver.com,504300,부천오정구,46,0,310302,310000,127.94994,36.28369
717605-132656,표채하,010-6385-7078,438440@naver.com,390167,부산연제구,50,1,210013,210000,128.68367,37.7343
558441-191966,노슬예,010-3145-1850,892222@naver.com,274522,진안군,66,0,350013,350000,128.87801,37.52473
873188-137307,장비희,010-7885-2058,781570@naver.com,15452,여수시,34,1,360500,360000,128.19722,36.7531
599588-274952,구해련,010-1177-8715,813275@naver.com,545667,신안군,62,1,360012,360000,128.58695,37.28562
551161-103828,윤선원,010-6003-4269,633703@naver.com,214479,청주시,66,0,330100,330000,127.96994,35.54604
586712-263504,남상기,010-4369-6116,381419@naver.com,972742,울산북구,63,0,260004,260000,126.391,35.02083
961274-227205,백진옥,010-8472-5336,337705@naver.com,494703,태안군,25,1,340016,340000,128.5839,37.05966
801623-111709,양주휘,010-9762-2522,290930@naver.com,334097,서초구,41,0,110021,110000,128.27451,36.23064
538990-260281,문비소,010-6761-3995,313400@naver.com,702393,수원팔달구,68,0,310603,310000,128.28907,36.60149
531654-260474,노여연,010-7544-5861,784435@naver.com,391161,파주시,68,1,312200,310000,127.28965,37.05512
871010-201259,하시희,010-3326-4565,71548@naver.com,834713,경주시,34,0,370100,370000,128.07835,35.51898
871742-283732,염나린,010-4829-8313,95598@naver.com,842764,의성군,34,0,370021,370000,128.69038,37.42957
542252-168890,안여련,010-7733-5537,711813@naver.com,21843,양구군,67,0,320004,320000,126.74117,37.83739
642694-152516,노도송,010-5174-3046,202226@naver.com,951431,경주시,57,0,370100,370000,127.38221,36.6922
567725-271540,황영인,010-4486-9748,618242@naver.com,201626,홍천군,65,0,320013,320000,127.14382,35.37625
873874-241101,도률성,010-9739-7835,313737@naver.com,191394,김해군,34,0,380004,380000,127.44544,36.0893
752254-178399,김재령,010-9083-7540,601269@naver.com,557061,청주상당구,46,1,330101,330000,128.85881,37.7822
882403-195636,박수우,010-4035-1021,154556@naver.com,690180,고양일산동구,33,1,311903,310000,126.14959,35.2636
706820-125467,표가영,010-3677-9728,984171@naver.com,334806,부산영도구,51,1,210007,210000,128.25762,35.8442
525107-108134,오선지,010-1232-9047,742994@naver.com,151135,철원군,69,1,320010,320000,128.15365,37.02876
452189-213424,서태하,010-6514-3544,743903@naver.com,568913,영등포구,76,1,110013,110000,126.00217,37.91279
537533-234280,배보지,010-4872-7831,632947@naver.com,654029,대구남구,68,1,230001,230000,126.17034,37.62659
958108-174591,서한혜,010-8411-9578,741632@naver.com,547722,홍성군,26,0,340015,340000,128.79652,37.91656
403472-182381,허연승,010-7509-5635,414100@naver.com,970102,울진군,81,1,370019,370000,127.00446,35.19013
778166-234814,윤선미,010-2722-6363,452551@naver.com,816379,부천시,44,0,310300,310000,128.89434,37.64111
625778-127215,정명율,010-3369-7990,463495@naver.com,365811,안산상록구,59,1,311102,310000,128.42412,36.8834
872454-140356,류조휘,010-9933-3218,981191@naver.com,675744,인천남구,34,0,220001,220000,128.59329,37.53332
604239-104150,추지경,010-9282-6482,614516@naver.com,72302,김해시,61,1,380100,380000,127.09429,37.61659
505776-214380,변휘주,010-7386-2933,853534@naver.com,442837,대구달서구,71,1,230007,230000,126.81865,36.47759
490693-197704,추경예,010-9961-0007,244246@naver.com,672824,성남분당구,72,0,310403,310000,127.19233,35.27452
863943-154907,최김한,010-4801-1483,206538@naver.com,481101,청송군,35,0,370023,370000,126.50722,35.93259
995394-226205,은윤기,010-6047-3299,877063@naver.com,533294,영덕군,22,0,370012,370000,127.69236,37.28645
975275-286607,문효하,010-8941-7986,248915@naver.com,337235,익산시,24,1,350300,350000,127.53299,37.87612
685377-285622,추채서,010-6339-6935,298218@naver.com,605845,사천군,53,0,380007,380000,126.10644,35.2251
650959-191791,황해언,010-4036-6768,309659@naver.com,735702,창원성산구,56,0,380705,380000,128.48624,37.8729
884233-136099,권고원,010-9216-0701,156697@naver.com,192712,김포시,33,1,312300,310000,126.18655,36.55778
666272-210372,정민준,010-3884-9206,765150@naver.com,296911,울릉군,55,0,370018,370000,127.26391,37.93546
970353-123591,류률재,010-6267-8009,870406@naver.com,831725,삼척시,24,1,320700,320000,126.28022,35.69744
773828-289652,이다향,010-7043-2336,707326@naver.com,476497,영등포구,44,0,110013,110000,126.95154,35.23036
691664-164890,염혜완,010-4188-2355,968564@naver.com,909678,양산시,52,0,381100,380000,128.4492,37.52867
412089-245817,편연원,010-3901-1413,371173@naver.com,349604,제천군,80,1,330007,330000,128.75675,37.07179
652912-286953,노원우,010-1972-7861,659175@naver.com,810781,안산시,56,0,311100,310000,127.81609,37.36824
770200-111570,추보예,010-5521-6385,216106@naver.com,472647,창원의창구,44,0,380704,380000,127.737,37.91631
548343-203826,표재한,010-7048-3469,786584@naver.com,412837,천안시,67,1,340200,340000,128.6983,35.68563
827840-181965,진의원,010-7577-1168,560440@naver.com,397253,영천시,39,0,370600,370000,126.1883,35.68453
834695-260624,정송미,010-2320-8421,172130@naver.com,866856,남원시,38,1,350200,350000,126.45863,37.4245
691629-160016,고슬욱,010-4052-3041,277791@naver.com,685709,철원군,52,1,320010,320000,127.56364,37.17301
840504-268052,노영송,010-4611-7947,20210@naver.com,525797,익산군,37,0,350009,350000,127.01272,37.72547
527913-127498,문현진,010-2717-4212,402506@naver.com,589012,성남분당구,69,1,310403,310000,128.37565,36.03573
