Rdate1,Rdate2,IsVaccine,Ssn,Vnumber,Hnumber
2021-09-29 0:00,2021-10-27 0:00,0,000699-149686,10,JDQ4MTYyMiM1MSMkMSMkNCMkOTIkNDgxNzAyIzExIyQxIyQzIyQ3OSQyNjEyMjIjNTEjJDEjJDIjJDgz
2021-11-02 0:00,2021-11-30 0:00,0,001754-210460,10,JDQ4MTYyMiM1MSMkMSMkNCMkOTIkNDgxNzAyIzExIyQxIyQzIyQ3OSQyNjEyMjIjNTEjJDEjJDIjJDgz
2021-10-10 0:00,2021-11-07 0:00,0,002439-212546,10,JDQ4MTYyMiM1MSMkMSMkNCMkOTIkNDgxNzAyIzExIyQxIyQzIyQ3OSQyNjEyMjIjNTEjJDEjJDIjJDgz
2021-08-06 0:00,2021-09-03 0:00,1,006899-240964,10,JDQ4MTYyMiM1MSMkMSMkNCMkOTIkNDgxNzAyIzExIyQxIyQzIyQ3OSQyNjEyMjIjNTEjJDEjJDIjJDgz
2021-09-03 0:00,2021-10-01 0:00,0,007756-132169,10,JDQ4MTYyMiM1MSMkMSMkNCMkOTIkNDgxNzAyIzExIyQxIyQzIyQ3OSQyNjEyMjIjNTEjJDEjJDIjJDgz
2021-10-20 0:00,2021-11-17 0:00,1,008443-130869,10,JDQ4MTYyMiM1MSMkMSMkNCMkOTIkNDgxNzAyIzExIyQxIyQzIyQ3OSQyNjEyMjIjNTEjJDEjJDIjJDgz
2021-10-09 0:00,2021-11-06 0:00,0,009602-202689,10,JDQ4MTYyMiM1MSMkMSMkNCMkOTIkNDgxNzAyIzExIyQxIyQzIyQ3OSQyNjEyMjIjNTEjJDEjJDIjJDgz
2021-12-02 0:00,2021-12-30 0:00,0,009875-283176,10,JDQ4MTYyMiM1MSMkMSMkNCMkOTIkNDgxNzAyIzExIyQxIyQzIyQ3OSQyNjEyMjIjNTEjJDEjJDIjJDgz
2021-12-25 0:00,2022-01-22 0:00,1,010461-227410,10,JDQ4MTYyMiM1MSMkMSMkNCMkOTIkNDgxNzAyIzExIyQxIyQzIyQ3OSQyNjEyMjIjNTEjJDEjJDIjJDgz
2021-11-13 0:00,2021-12-11 0:00,1,011454-269822,10,JDQ4MTYyMiM1MSMkMSMkNCMkOTIkNDgxNzAyIzExIyQxIyQzIyQ3OSQyNjEyMjIjNTEjJDEjJDIjJDgz
2021-08-13 0:00,2021-09-10 0:00,1,012461-161997,10,JDQ4MTYyMiM1MSMkMSMkNCMkOTIkNDgxNzAyIzExIyQxIyQzIyQ3OSQyNjEyMjIjNTEjJDEjJDIjJDgz
2021-11-29 0:00,2021-12-27 0:00,0,013007-196146,10,JDQ4MTYyMiM1MSMkMSMkNCMkOTIkNDgxNzAyIzExIyQxIyQzIyQ3OSQyNjEyMjIjNTEjJDEjJDIjJDgz
2021-12-04 0:00,2022-01-01 0:00,0,014023-151459,10,JDQ4MTYyMiM1MSMkMSMkNCMkOTIkNDgxNzAyIzExIyQxIyQzIyQ3OSQyNjEyMjIjNTEjJDEjJDIjJDgz
2021-08-21 0:00,2021-09-18 0:00,0,014507-131469,10,JDQ4MTYyMiM1MSMkMSMkNCMkOTIkNDgxNzAyIzExIyQxIyQzIyQ3OSQyNjEyMjIjNTEjJDEjJDIjJDgz
2021-09-04 0:00,2021-10-02 0:00,0,014814-257313,10,JDQ4MTYyMiM1MSMkMSMkNCMkOTIkNDgxNzAyIzExIyQxIyQzIyQ3OSQyNjEyMjIjNTEjJDEjJDIjJDgz
2021-11-29 0:00,2021-12-27 0:00,1,015289-187180,10,JDQ4MTYyMiM1MSMkMSMkNCMkOTIkNDgxNzAyIzExIyQxIyQzIyQ3OSQyNjEyMjIjNTEjJDEjJDIjJDgz
